type,year,number
ukpga,1874,88
ukpga,1874,94
ukpga,1875,16
ukpga,1875,17
ukpga,1875,18
ukpga,1875,25
ukpga,1875,41
ukpga,1875,47
ukpga,1875,55
ukpga,1875,61
ukpga,1875,63
ukpga,1875,86
ukpga,1875,89
ukpga,1876,11
ukpga,1876,14
ukpga,1876,18
ukpga,1876,20
ukpga,1876,24
ukpga,1876,31
ukpga,1876,36
ukpga,1876,56
ukpga,1876,59
ukpga,1876,67
ukpga,1876,70
ukpga,1876,77
ukpga,1877,11
ukpga,1877,13
ukpga,1877,28
ukpga,1877,2
ukpga,1877,36
ukpga,1877,40
ukpga,1877,41
ukpga,1877,48
ukpga,1877,53
ukpga,1877,59
ukpga,1878,25
ukpga,1878,28
ukpga,1878,31
ukpga,1878,38
ukpga,1878,42
ukpga,1878,51
ukpga,1878,52
ukpga,1878,54
ukpga,1878,56
ukpga,1878,68
ukpga,1878,71
ukpga,1878,73
ukpga,1878,77
ukpga,1879,11
ukpga,1879,17
ukpga,1879,21
ukpga,1879,28
ukpga,1879,36
ukpga,1879,37
ukpga,1879,42
ukpga,1879,44
ukpga,1879,58
ukpga,1879,8
ukpga,1880,12
ukpga,1880,20
ukpga,1880,26
ukpga,1880,34
ukpga,1880,41
ukpga,1880,47
ukpga,1880,4
ukpga,1881,10
ukpga,1881,12
ukpga,1881,21
ukpga,1881,24
ukpga,1881,3
ukpga,1881,41
ukpga,1881,45
ukpga,1881,60
ukpga,1881,64
ukpga,1882,15
ukpga,1882,21
ukpga,1882,37
ukpga,1882,38
ukpga,1882,39
ukpga,1882,42
ukpga,1882,43
ukpga,1882,44
ukpga,1882,50
ukpga,1882,53
ukpga,1882,56
ukpga,1882,61
ukpga,1882,62
ukpga,1882,72
ukpga,1882,73
ukpga,1882,75
ukpga,1882,77
ukpga,1882,80
ukpga,1882,9
ukpga,1883,10
ukpga,1883,14
ukpga,1883,15
ukpga,1883,18
ukpga,1883,1
ukpga,1883,22
ukpga,1883,2
ukpga,1883,32
ukpga,1883,37
ukpga,1883,38
ukpga,1883,3
ukpga,1883,55
ukpga,1884,23
ukpga,1884,30
ukpga,1884,31
ukpga,1884,44
ukpga,1884,54
ukpga,1884,55
ukpga,1884,56
ukpga,1884,62
ukpga,1884,72
ukpga,1885,18
ukpga,1885,32
ukpga,1885,34
ukpga,1885,42
ukpga,1885,49
ukpga,1885,54
ukpga,1885,61
ukpga,1885,70
ukpga,1885,72
ukpga,1886,15
ukpga,1886,22
ukpga,1886,29
ukpga,1886,35
ukpga,1886,38
ukpga,1886,50
ukpga,1887,24
ukpga,1887,27
ukpga,1887,32
ukpga,1887,35
ukpga,1887,37
ukpga,1887,40
ukpga,1887,42
ukpga,1887,43
ukpga,1887,45
ukpga,1887,52
ukpga,1887,54
ukpga,1887,55
ukpga,1887,59
ukpga,1887,65
ukpga,1887,67
ukpga,1887,69
ukpga,1887,70
ukpga,1887,71
ukpga,1888,12
ukpga,1888,1
ukpga,1888,21
ukpga,1888,25
ukpga,1888,2
ukpga,1888,41
ukpga,1888,45
ukpga,1888,48
ukpga,1888,56
ukpga,1888,59
ukpga,1888,64
ukpga,1888,6
ukpga,1888,8
ukpga,1889,10
ukpga,1889,14
ukpga,1889,16
ukpga,1889,30
ukpga,1889,32
ukpga,1889,36
ukpga,1889,39
ukpga,1889,42
ukpga,1889,44
ukpga,1889,45
ukpga,1889,53
ukpga,1889,54
ukpga,1889,55
ukpga,1889,57
ukpga,1889,63
ukpga,1889,69
ukpga,1889,6
ukpga,1889,72
ukpga,1890,21
ukpga,1890,25
ukpga,1890,27
ukpga,1890,2
ukpga,1890,35
ukpga,1890,36
ukpga,1890,37
ukpga,1890,39
ukpga,1890,40
ukpga,1890,53
ukpga,1890,59
ukpga,1890,69
ukpga,1891,16
ukpga,1891,24
ukpga,1891,35
ukpga,1891,37
ukpga,1891,38
ukpga,1891,39
ukpga,1891,3
ukpga,1891,40
ukpga,1891,41
ukpga,1891,43
ukpga,1891,50
ukpga,1891,51
ukpga,1891,53
ukpga,1891,69
ukpga,1891,70
ukpga,1891,8
ukpga,1891,9
ukpga,1892,17
ukpga,1892,23
ukpga,1892,29
ukpga,1892,31
ukpga,1892,35
ukpga,1892,36
ukpga,1892,39
ukpga,1892,43
ukpga,1892,48
ukpga,1892,4
ukpga,1892,54
ukpga,1892,57
ukpga,1892,58
ukpga,1892,64
ukpga,1892,6
ukpga,1892,8
ukpga,1892,9
ukpga,1893,17
ukpga,1893,20
ukpga,1893,39
ukpga,1893,44
ukpga,1893,53
ukpga,1893,57
ukpga,1893,5
ukpga,1893,63
ukpga,1893,71
ukpga,1893,7
ukpga,1894,13
ukpga,1894,23
ukpga,1894,28
ukpga,1894,2
ukpga,1894,34
ukpga,1894,36
ukpga,1894,39
ukpga,1894,40
ukpga,1894,43
ukpga,1894,44
ukpga,1894,45
ukpga,1894,46
ukpga,1894,58
ukpga,1894,60
ukpga,1894,73
ukpga,1895,12
ukpga,1895,14
ukpga,1895,16
ukpga,1895,19
ukpga,1895,21
ukpga,1895,24
ukpga,1895,32
ukpga,1895,34
ukpga,1895,44
ukpga,1895,9
ukpga,1896,14
ukpga,1896,25
ukpga,1896,27
ukpga,1896,35
ukpga,1896,44
ukpga,1896,45
ukpga,1896,48
ukpga,1896,8
ukpga,1897,12
ukpga,1897,13
ukpga,1897,14
ukpga,1897,21
ukpga,1897,26
ukpga,1897,30
ukpga,1897,31
ukpga,1897,33
ukpga,1897,38
ukpga,1897,44
ukpga,1897,53
ukpga,1897,56
ukpga,1897,59
ukpga,1897,63
ukpga,1897,6
ukpga,1898,10
ukpga,1898,11
ukpga,1898,16
ukpga,1898,29
ukpga,1898,35
ukpga,1898,36
ukpga,1898,44
ukpga,1898,46
ukpga,1898,48
ukpga,1898,53
ukpga,1898,60
ukpga,1899,20
ukpga,1899,26
ukpga,1899,30
ukpga,1899,38
ukpga,1899,46
ukpga,1899,9
ukpga,1900,12
ukpga,1900,14
ukpga,1900,20
ukpga,1900,27
ukpga,1900,32
ukpga,1900,55
ukpga,1900,56
ukpga,1900,7
ukpga,1901,11
ukpga,1901,27
ukpga,1901,5
ukpga,1901,7
ukpga,1902,14
ukpga,1902,18
ukpga,1902,23
ukpga,1902,25
ukpga,1902,28
ukpga,1902,29
ukpga,1902,37
ukpga,1902,41
ukpga,1902,7
ukpga,1902,8
ukpga,1903,20
ukpga,1903,30
ukpga,1903,31
ukpga,1903,37
ukpga,1903,46
ukpga,1903,47
ukpga,1904,11
ukpga,1904,12
ukpga,1904,7
ukpga,1905,11
ukpga,1905,12
ukpga,1905,13
ukpga,1905,23
ukpga,1905,3
ukpga,1906,14
ukpga,1906,21
ukpga,1906,25
ukpga,1906,28
ukpga,1906,32
ukpga,1906,34
ukpga,1906,35
ukpga,1906,39
ukpga,1906,40
ukpga,1906,41
ukpga,1906,48
ukpga,1906,50
ukpga,1906,53
ukpga,1906,55
ukpga,1906,57
ukpga,1906,5
ukpga,1907,13
ukpga,1907,16
ukpga,1907,17
ukpga,1907,18
ukpga,1907,24
ukpga,1907,29
ukpga,1907,30
ukpga,1907,40
ukpga,1907,51
ukpga,1907,53
ukpga,1907,55
ukpga,1908,16
ukpga,1908,36
ukpga,1908,44
ukpga,1908,48
ukpga,1908,50
ukpga,1908,51
ukpga,1908,53
ukpga,1908,57
ukpga,1908,59
ukpga,1908,66
ukpga,1908,67
ukpga,1908,69
ukpga,1909,12
ukpga,1909,15
